location,property_type,bedrooms,bathrooms,house_size,floor,total_floors,furnished,parking,balcony,age,monthly_rent
Uttara,Studio,1,1,501,3,5,No,No,Yes,0,20000
Mirpur,Apartment,2,3,1269,5,8,No,Yes,Yes,5,33000
Banani,Apartment,3,2,988,3,7,No,No,Yes,3,44500
Gulshan,Studio,1,1,287,4,5,No,Yes,Yes,4,22000
Gulshan,Duplex,4,4,2729,6,7,Yes,No,Yes,3,164000
Uttara,Duplex,5,5,2037,5,14,No,Yes,Yes,10,79000
Uttara,Apartment,3,2,860,8,9,Yes,No,No,7,36000
Mirpur,House,3,2,1527,6,6,No,No,Yes,6,35000
Mohammadpur,Apartment,3,2,1308,1,7,No,Yes,Yes,3,34500
Dhanmondi,Duplex,5,5,3453,7,8,No,Yes,Yes,0,136500
Dhanmondi,Apartment,4,3,1474,2,7,Yes,Yes,No,14,68000
Dhanmondi,Apartment,3,2,938,3,6,No,No,Yes,7,36000
Uttara,Studio,1,1,296,1,4,No,No,Yes,0,11500
Uttara,Apartment,3,2,1301,4,4,Yes,No,Yes,2,59000
Mohakhali,Apartment,3,2,935,4,4,No,Yes,Yes,7,33500
Mohammadpur,Apartment,3,2,1328,2,5,No,No,Yes,10,30000
Bashundhara,Apartment,3,3,1102,3,6,No,No,Yes,11,37000
Uttara,Duplex,5,5,2661,9,12,Yes,Yes,Yes,4,119500
Mirpur,Apartment,3,3,1420,7,8,No,Yes,Yes,4,34500
Bashundhara,Apartment,3,2,1361,5,6,No,Yes,No,4,44000
Dhanmondi,House,5,4,1225,1,6,No,Yes,No,4,52500
Mohakhali,Studio,1,1,432,3,6,Yes,No,Yes,16,19000
Mirpur,Apartment,3,2,1269,1,10,No,Yes,Yes,7,29000
Bashundhara,Apartment,2,1,734,4,4,No,No,Yes,7,24500
Mirpur,Duplex,4,4,1938,1,4,Yes,No,Yes,10,54500
Mohammadpur,Apartment,2,1,602,7,14,Yes,Yes,Yes,4,27500
Bashundhara,Apartment,2,1,592,2,6,Yes,No,Yes,10,27500
Mirpur,Apartment,2,2,1099,5,8,No,Yes,Yes,6,28000
Uttara,House,3,3,1630,3,4,Yes,No,Yes,7,63500
Bashundhara,Apartment,1,1,500,2,6,No,No,Yes,1,17000
Gulshan,Studio,1,1,650,8,8,No,Yes,No,5,35000
Khilgaon,Apartment,3,3,1675,1,6,No,Yes,No,1,33000
Dhanmondi,Apartment,3,2,1233,6,8,No,Yes,Yes,0,50500
Mirpur,Apartment,3,2,1308,3,9,No,Yes,Yes,2,36000
Mirpur,Apartment,4,3,1665,1,7,No,No,No,2,35500
Gulshan,Duplex,6,7,2291,7,7,Yes,Yes,Yes,5,140500
Bashundhara,Apartment,4,3,1744,6,10,Yes,No,Yes,0,77000
Mohammadpur,Apartment,4,4,1546,3,6,No,Yes,Yes,3,46000
Badda,Apartment,3,2,1109,1,5,No,No,Yes,1,25000
Uttara,Apartment,3,3,1217,7,7,No,Yes,No,29,32000
Gulshan,Apartment,3,2,1207,6,8,No,No,Yes,14,59000
Khilgaon,Apartment,3,2,937,4,6,No,Yes,Yes,21,22500
Jatrabari,Apartment,2,1,626,3,5,No,No,Yes,7,14000
Mohakhali,Apartment,4,3,1553,6,6,No,Yes,Yes,0,52500
Gulshan,Apartment,3,3,1302,2,8,No,Yes,Yes,3,77500
Banani,Studio,1,1,340,4,8,No,Yes,No,4,22000
Bashundhara,House,5,5,1927,7,7,Yes,No,Yes,5,77500
Mirpur,Apartment,3,3,1517,6,6,No,No,No,2,32000
Bashundhara,Apartment,3,3,1141,2,4,No,Yes,Yes,6,46000
Dhanmondi,Apartment,3,3,869,2,8,No,Yes,Yes,10,39000
Uttara,Apartment,3,2,1215,2,5,No,Yes,No,9,38500
Mohakhali,Apartment,3,3,1166,2,5,No,Yes,Yes,7,39500
Gulshan,Apartment,3,3,1320,6,10,No,Yes,Yes,1,70000
Uttara,Apartment,3,2,881,4,7,No,No,No,3,28500
Mohakhali,House,4,4,2329,2,10,Yes,Yes,Yes,2,101500
Badda,Apartment,3,3,1014,8,9,No,Yes,Yes,4,26500
Uttara,Studio,1,1,430,6,10,No,No,No,7,14000
Mohammadpur,Apartment,2,1,676,4,14,No,No,Yes,1,22500
Banani,Apartment,2,2,1391,2,4,No,Yes,Yes,4,62000
Dhanmondi,Apartment,4,3,1916,2,8,Yes,No,No,16,76000
Dhanmondi,Apartment,3,2,1346,3,5,Yes,No,Yes,6,66500
Bashundhara,Apartment,3,2,1118,6,7,No,Yes,Yes,5,43500
Uttara,Apartment,2,2,975,3,6,No,Yes,Yes,9,33500
Mohakhali,Apartment,2,2,1254,6,8,Yes,No,Yes,4,49500
Mirpur,Apartment,2,1,526,5,7,No,No,Yes,8,14500
Gulshan,Apartment,3,4,1711,6,6,No,Yes,No,17,82500
Banani,Apartment,3,4,1933,4,7,No,Yes,No,6,92000
Mirpur,Apartment,2,3,1011,3,6,No,Yes,Yes,0,28500
Uttara,House,5,5,1898,1,8,No,Yes,Yes,14,52000
Dhanmondi,Apartment,3,3,1511,1,7,No,Yes,Yes,3,54000
Gulshan,Studio,1,1,650,3,8,No,No,Yes,3,36500
Mohakhali,Apartment,2,3,1290,1,7,No,Yes,Yes,1,42500
Dhanmondi,Duplex,4,5,2340,4,6,No,No,Yes,3,102000
Bashundhara,Apartment,3,2,1207,8,10,Yes,Yes,Yes,7,49000
Mohammadpur,House,3,3,2176,3,4,No,No,No,0,54500
Mohammadpur,Apartment,3,2,1358,4,6,No,Yes,Yes,8,38500
Uttara,Duplex,5,6,2257,1,7,No,Yes,Yes,8,77500
Mirpur,Apartment,3,2,1385,5,8,Yes,No,No,0,42000
Mohakhali,Apartment,4,3,1801,1,5,No,No,Yes,1,54000
Mohakhali,Apartment,3,4,1555,6,6,No,Yes,Yes,5,52000
Dhanmondi,Apartment,3,2,923,7,7,No,Yes,Yes,3,35500
Dhanmondi,Apartment,3,3,1285,2,8,Yes,Yes,Yes,7,62000
Bashundhara,Apartment,2,1,732,6,8,Yes,Yes,Yes,2,36500
Mohammadpur,Studio,1,1,503,4,4,No,No,No,9,14500
Mirpur,Apartment,3,2,1063,10,12,No,No,No,4,25500
Bashundhara,Apartment,2,2,1307,4,9,No,Yes,Yes,10,42500
Gulshan,Apartment,2,2,1069,4,8,No,No,Yes,4,53500
Mirpur,House,5,5,900,11,16,No,No,Yes,16,28500
Mirpur,Studio,1,1,547,1,7,No,No,No,3,12000
Gulshan,Apartment,3,3,1721,2,10,Yes,Yes,Yes,0,107500
Jatrabari,Apartment,3,4,1665,2,4,No,No,Yes,5,31000
Badda,Studio,1,1,442,6,9,No,No,No,1,11000
Banani,Apartment,3,2,1366,3,10,No,Yes,No,1,66500
Bashundhara,Apartment,4,3,1870,9,10,No,Yes,No,3,61000
Gulshan,Duplex,6,7,2372,4,6,No,Yes,Yes,7,138500
Bashundhara,Apartment,3,4,1408,5,7,No,Yes,Yes,6,48500
Bashundhara,Duplex,6,6,2462,1,5,No,Yes,Yes,15,91000
Banani,Apartment,3,2,1258,4,4,No,No,No,1,60000
Mohammadpur,House,3,3,1521,7,8,No,Yes,No,10,41000
Banani,Apartment,3,2,1186,6,9,No,No,Yes,0,58500
Uttara,Apartment,3,2,1239,4,10,No,Yes,Yes,2,42000
Gulshan,House,3,3,1997,4,7,No,Yes,Yes,1,106000
Mirpur,Apartment,3,4,1536,5,6,No,No,Yes,20,35500
Mirpur,Apartment,3,3,865,8,10,No,No,Yes,3,22500
Khilgaon,Apartment,3,3,1302,8,8,No,No,Yes,20,25000
Dhanmondi,Apartment,2,1,772,5,5,No,No,Yes,2,31500
Bashundhara,Apartment,3,2,1148,1,8,No,No,Yes,7,35000
Mirpur,Apartment,2,2,1248,2,6,No,Yes,Yes,0,31000
Uttara,Apartment,2,2,1146,2,9,Yes,No,Yes,18,40500
Banani,Duplex,5,5,3080,8,12,No,No,Yes,2,171500
Mohammadpur,Apartment,3,2,1234,2,7,No,No,Yes,5,35000
Mirpur,Apartment,2,1,732,5,10,No,No,Yes,4,19500
Mirpur,Apartment,3,2,861,4,6,Yes,No,Yes,3,33000
Mohammadpur,Apartment,3,3,1462,2,7,No,Yes,Yes,12,41500
Badda,Apartment,3,2,1395,7,8,Yes,No,Yes,3,39000
Mohakhali,Apartment,3,2,1269,1,4,No,Yes,Yes,2,35000
Mohakhali,Apartment,2,2,1312,8,9,No,Yes,Yes,1,41500
Mohammadpur,Apartment,3,2,1022,4,7,No,Yes,Yes,1,29500
Gulshan,House,4,3,1487,4,10,No,Yes,Yes,4,92000
Badda,Apartment,3,2,1160,2,4,No,Yes,Yes,6,28500
Gulshan,Apartment,2,2,1220,7,7,Yes,Yes,Yes,7,70000
Dhanmondi,Apartment,3,2,1012,2,9,Yes,No,Yes,11,51500
Mirpur,Apartment,3,2,1385,2,6,No,Yes,Yes,22,31500
Uttara,Duplex,5,6,2536,6,6,No,Yes,Yes,13,94000
Mohammadpur,Apartment,2,2,1104,2,8,No,No,Yes,2,31500
Bashundhara,Apartment,2,2,812,6,8,No,No,Yes,18,25500
Mohammadpur,Duplex,4,4,2435,6,6,No,No,Yes,4,66000
Mohammadpur,Apartment,3,2,1238,5,5,No,Yes,Yes,6,37000
Badda,Apartment,3,2,951,7,9,No,Yes,No,4,25000
Mirpur,Apartment,2,1,722,1,9,No,No,Yes,0,17500
Gulshan,Apartment,4,3,1963,2,6,No,Yes,Yes,1,106000
Mirpur,Apartment,3,2,1111,2,7,Yes,Yes,Yes,12,41000
Bashundhara,Apartment,2,2,1035,5,6,No,Yes,Yes,26,30500
Banani,Apartment,2,1,769,12,16,No,No,Yes,2,33500
Badda,House,4,4,1883,4,6,No,No,Yes,6,41500
Gulshan,Apartment,3,2,1389,2,5,No,No,Yes,4,65000
Mirpur,Apartment,3,2,1228,2,5,Yes,Yes,Yes,8,41000
Uttara,Apartment,2,3,1039,1,7,No,Yes,No,1,31500
Mirpur,Duplex,4,4,2462,2,5,No,Yes,Yes,2,74500
Dhanmondi,Apartment,3,3,1034,6,9,No,Yes,Yes,4,46500
Uttara,Apartment,3,4,1642,1,5,No,Yes,Yes,1,55000
Dhanmondi,Studio,1,1,506,1,7,No,No,No,5,18500
Mirpur,Apartment,1,1,500,2,4,No,Yes,Yes,0,16000
Mirpur,Apartment,3,2,1397,3,4,No,No,No,0,33000
Gulshan,House,5,5,1358,3,16,Yes,Yes,Yes,9,89000
Dhanmondi,Apartment,4,3,1481,5,5,No,Yes,Yes,3,65500
Banani,Duplex,4,4,1853,5,9,No,No,Yes,1,102000
Banani,Apartment,3,2,1316,2,6,Yes,No,Yes,9,77000
Khilgaon,Apartment,3,3,1235,4,7,No,Yes,Yes,6,29500
Mohammadpur,Apartment,3,2,1107,1,8,No,Yes,Yes,1,33500
Mohammadpur,Apartment,3,2,1173,7,8,No,Yes,No,12,32500
Banani,Studio,1,1,401,1,8,Yes,Yes,Yes,0,29000
Khilgaon,House,3,2,1128,3,5,No,Yes,Yes,10,27000
Gulshan,Apartment,3,3,1208,2,14,Yes,Yes,Yes,1,75500
Gulshan,Studio,1,1,526,3,5,No,No,Yes,5,29500
Mirpur,House,3,2,1301,3,6,No,Yes,Yes,1,36500
Dhanmondi,Duplex,4,5,2381,6,8,No,No,Yes,15,101500
Dhanmondi,House,4,3,2024,3,5,No,Yes,Yes,7,79000
Banani,Apartment,3,2,841,3,8,No,No,Yes,7,42000
Mohammadpur,Apartment,3,2,1013,1,8,No,Yes,Yes,12,28500
Mirpur,Apartment,4,3,1427,4,7,Yes,No,Yes,0,51000
Mirpur,Apartment,3,2,1163,5,10,Yes,Yes,Yes,6,42500
Mirpur,Apartment,2,2,1318,4,5,No,Yes,Yes,5,31500
Bashundhara,Apartment,3,2,1237,2,8,No,Yes,Yes,2,44500
Mohakhali,Apartment,4,3,1520,5,7,Yes,Yes,Yes,3,67500
Gulshan,Apartment,4,4,1654,4,6,No,Yes,Yes,6,90000
Jatrabari,House,5,5,1706,6,7,No,Yes,Yes,2,39500
Khilgaon,Apartment,4,3,1509,5,7,No,No,Yes,0,35000
Badda,Duplex,6,6,2290,4,4,Yes,Yes,Yes,1,79500
Dhanmondi,Duplex,5,5,2063,9,9,No,Yes,Yes,0,85000
Badda,Apartment,2,1,500,4,4,No,Yes,No,12,15500
Uttara,House,3,2,1789,5,8,No,Yes,Yes,21,55500
